age,respondents,percentage
<18 years old,20,0.5
18-24 years old,461,11.5
25-34 years old,1986,49.5
35-44 years old,960,23.9
45-54 years old,302,7.5
55-64 years old,187,4.7
>65 years old,95,2.4
