coffee_code,personal_preference,rating_count,percentage_within_coffee
A,1,306,8.1
A,2,709,18.7
A,3,906,23.9
A,4,1237,32.6
A,5,631,16.7
B,1,296,7.8
B,2,909,24.1
B,3,1229,32.6
B,4,918,24.3
B,5,421,11.2
C,1,333,8.8
C,2,868,23.0
C,3,1203,31.9
C,4,946,25.1
C,5,416,11.0
D,1,614,16.3
D,2,547,14.5
D,3,552,14.7
D,4,912,24.2
D,5,1139,30.3
