age,respondents,average_expertise
<18 years old,18,4.61
18-24 years old,438,5.45
25-34 years old,1951,5.75
35-44 years old,948,5.9
45-54 years old,297,5.61
55-64 years old,184,5.33
>65 years old,94,4.81
