monthly_coffee_spend,monthly_spend_band_order,respondents,percentage
<$20,1,427,12.2
$20-$40,2,1293,36.8
$40-$60,3,1050,29.9
$60-$80,4,387,11.0
$80-$100,5,223,6.4
>$100,6,131,3.7
