submission_id,cups_per_day,where_drink,brew_methods,brew_other,purchase_locations,purchase_other,favorite_drink,favorite_specify,additions,additions_other,dairy,sweetener,preferred_style,preferred_strength,preferred_roast_level,caffeine_preference,expertise,reasons_for_drinking,reasons_for_drinking_other,likes_coffee_taste,knows_coffee_source
vNx5P0,3,At home,"Pour over, Espresso, Other",Aeropress,,,Cortado,,No - just black,,,,Juicy,,Light,Full caffeine,6,"It tastes good, I need the ritual",,Yes,Yes
6dQEZk,3,"At home, At a cafe","Pour over, Espresso, Other",,,,Espresso,,"No - just black, Milk, dairy alternative, or coffee creamer",,Whole milk,,Juicy,Somewhat strong,Nordic,Full caffeine,4,"It tastes good, Other",It sparks joy,Yes,Yes
qbE1d7,Less than 1,At a cafe,,,,,Latte,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",,"Whole milk, Oat milk","Granulated Sugar, Honey, Brown Sugar",Sweet,Weak,Medium,Decaf,1,,,,
bl4QeL,1,At home,"Pour over, Espresso",,,,Espresso,,No - just black,,,,Fruity,Somewhat strong,Light,Full caffeine,7,"It tastes good, I need the ritual",,Yes,Yes
PABJ55,3,At home,Pour over,,,,Cortado,,No - just black,,,,Fruity,Somewhat strong,Light,Full caffeine,5,It tastes good,,Yes,Yes
aBrq9b,2,At home,Pour over,,,,Pourover,,Other,water,,,Floral,Medium,Light,Full caffeine,5,It tastes good,,Yes,Yes
LdMLPv,2,"At the office, On the go, At home, At a cafe",Pour over,,"Drive-thru, Local cafe, National chain (e.g. Starbucks, Dunkin), Specialty coffee shop",,Cold brew,,No - just black,,,,Fruity,Medium,Medium,Full caffeine,5,"It tastes good, I need the caffeine",,Yes,Yes
qbE1VY,2,"At home, At a cafe","Pour over, Other",Aeropress,,,Other,"""sparking espresso"" - americano made w/ sparkling water :)","No - just black, Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,Whole milk,Granulated Sugar,Fruity,Medium,Light,Full caffeine,7,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes
oAVLEx,2,"At the office, At home, At a cafe",Pour over,,,,Cortado,,No - just black,,,,Fruity,Somewhat strong,Light,Half caff,6,"It tastes good, It makes me go to the bathroom",,Yes,Yes
PABJ1V,1,"At the office, At a cafe, At home",Coffee brewing machine (e.g. Mr. Coffee),,,,Mocha,,No - just black,,,,Chocolatey,Somewhat strong,Medium,Full caffeine,4,"It tastes good, I need the caffeine",,Yes,Yes
0EjR6N,2,"At a cafe, At the office, At home","French press, Pod/capsule machine (e.g. Keurig/Nespresso)",,,,Latte,,"Flavor syrup, Milk, dairy alternative, or coffee creamer",,"Half and half, Whole milk",,Chocolatey,Somewhat light,Blonde,Full caffeine,1,"It tastes good, I need the caffeine, I need the ritual",,Yes,No
BGbW75,2,At home,Espresso,,,,Latte,,"No - just black, Milk, dairy alternative, or coffee creamer",,Whole milk,,Chocolatey,Somewhat strong,Medium,Full caffeine,6,It tastes good,,Yes,Yes
8dp4L5,2,"At home, At the office","Espresso, Pour over, Other",Aeropress,,,Americano,,No - just black,,,,Chocolatey,Somewhat strong,Medium,Full caffeine,6,"It tastes good, I need the caffeine, It makes me go to the bathroom",,Yes,Yes
GrBARZ,1,At home,"Pour over, Other",aeropress (over ice and hot),,,Iced coffee,,No - just black,,,,Fruity,Somewhat strong,Light,Full caffeine,7,"It tastes good, I need the ritual",,Yes,No
rlrMBR,1,At home,"Pour over, Espresso",,,,Iced coffee,,No - just black,,,,Floral,Medium,Nordic,Full caffeine,8,"It tastes good, It makes me go to the bathroom",,Yes,Yes
J2kEvY,2,At home,"Cold brew, Espresso",,,,Blended drink (e.g. Frappuccino),,"No - just black, Sugar or sweetener, Milk, dairy alternative, or coffee creamer, Flavor syrup",,"Coffee creamer, Flavored coffee creamer, Half and half",Granulated Sugar,Bold,Very strong,Dark,Full caffeine,8,,,,
GrBAve,1,"At the office, At home","Pour over, French press, Other",Aeropress,,,Americano,,No - just black,,,,Nutty,Somewhat strong,Medium,Full caffeine,7,"It tastes good, I need the ritual",,Yes,Yes
g5N6qO,Less than 1,"On the go, At home",Coffee brewing machine (e.g. Mr. Coffee),,"Drive-thru, National chain (e.g. Starbucks, Dunkin)",,Iced coffee,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",,Flavored coffee creamer,"Artificial Sweeteners (e.g., Splenda)",Sweet,Medium,Light,Full caffeine,3,"It tastes good, I need the caffeine",,Yes,No
J2kvOo,2,"At the office, At a cafe, At home","Pour over, Espresso, Bean-to-cup machine, Cold brew",,,,Latte,,"Milk, dairy alternative, or coffee creamer",,Whole milk,,Fruity,Somewhat strong,Light,Full caffeine,6,It tastes good,,Yes,Yes
GrBAlp,3,At home,"Pour over, Coffee extract (e.g. Cometeer), Cold brew",,,,Cappuccino,,No - just black,,,,Chocolatey,Medium,Light,Full caffeine,7,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes
7d9r2P,3,At home,"Espresso, Pour over, French press",,,,Latte,,"Milk, dairy alternative, or coffee creamer",,"Half and half, Whole milk",,Bright,Very strong,Light,Full caffeine,7,"It tastes good, I need the caffeine",,Yes,Yes
1r2odl,1,At home,"Pour over, Other",Moka pot,,,Cortado,,"No - just black, Milk, dairy alternative, or coffee creamer",,Whole milk,,Bright,Somewhat strong,Light,Full caffeine,6,It tastes good,,Yes,Yes
J2kvdR,1,"At home, At a cafe",Pour over,,,,Pourover,,No - just black,,,,Fruity,Medium,Light,Full caffeine,7,"It tastes good, I need the ritual, I need the caffeine",,Yes,Yes
jB9APx,2,At home,Pour over,,,,Pourover,,No - just black,,,,Fruity,Somewhat strong,Light,Full caffeine,7,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes
DVv6kZ,1,"At home, On the go",Pod/capsule machine (e.g. Keurig/Nespresso),,Specialty coffee shop,,Mocha,,Flavor syrup,,,,Bright,Medium,Dark,Full caffeine,2,It tastes good,,Yes,No
xdN8Ok,1,"At home, On the go","Coffee extract (e.g. Cometeer), Coffee brewing machine (e.g. Mr. Coffee)",,"Local cafe, National chain (e.g. Starbucks, Dunkin)",,Latte,,No - just black,,,,Caramalized,Somewhat light,Medium,Half caff,3,I need the ritual,,Yes,Yes
NAB1qO,3,At home,"Pour over, Espresso, Cold brew",,,,Latte,,"Milk, dairy alternative, or coffee creamer",,Whole milk,,Nutty,Somewhat strong,Medium,Full caffeine,7,"It tastes good, I need the caffeine, I need the ritual",,Yes,No
GrBA9Z,3,"At a cafe, At home","Pour over, Espresso",,,,Espresso,,"No - just black, Milk, dairy alternative, or coffee creamer",,Oat milk,,Fruity,Very strong,Light,Full caffeine,8,It tastes good,,Yes,Yes
bl4Qdg,2,At home,"Coffee extract (e.g. Cometeer), Pour over",,,,Pourover,,No - just black,,,,Fruity,Medium,Light,Full caffeine,7,"It tastes good, I need the caffeine",,Yes,Yes
5dqPZo,2,"At the office, At home",Pour over,,,,Pourover,,No - just black,,,,Floral,Medium,Light,Full caffeine,8,"It tastes good, I need the caffeine",,Yes,Yes
J2kEyz,3,"On the go, At a cafe, At home, At the office",Espresso,,Specialty coffee shop,,Cappuccino,,"Milk, dairy alternative, or coffee creamer",,Oat milk,,Full Bodied,Somewhat strong,Medium,Full caffeine,9,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes
jB98j9,2,"At home, At the office","Pour over, Espresso",,,,Espresso,,No - just black,,,,Nutty,Somewhat strong,Medium,Full caffeine,6,"It tastes good, I need the ritual",,Yes,Yes
DVv67R,4,"At home, On the go, At the office","Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",,Specialty coffee shop,,Pourover,,"Milk, dairy alternative, or coffee creamer, No - just black",,Whole milk,,Bright,Somewhat strong,Light,Full caffeine,6,"It tastes good, It makes me go to the bathroom",,Yes,Yes
QABlV8,1,At home,Pour over,,,,Pourover,,No - just black,,,,Fruity,Medium,Light,Full caffeine,2,"It tastes good, I need the ritual, I need the caffeine, It makes me go to the bathroom",,Yes,Yes
LdMLpj,1,At home,"Espresso, French press, Pour over, Coffee extract (e.g. Cometeer)",,,,Espresso,,No - just black,,,,Fruity,Very strong,Light,Full caffeine,7,"It tastes good, I need the ritual",,Yes,Yes
42NVrX,2,"At home, At a cafe","Espresso, Pour over",,,,Pourover,,No - just black,,,,Fruity,Somewhat strong,Medium,Full caffeine,7,"It tastes good, I need the caffeine",,Yes,Yes
VZ1OpM,2,"At a cafe, At home",Other,Aeropress,,,Other,Espresso Machiato,No - just black,,,,Full Bodied,Somewhat strong,Medium,Full caffeine,4,"It tastes good, I need the ritual, I need the caffeine",,Yes,Yes
42NlWr,1,"On the go, At a cafe, At the office, At home","Pod/capsule machine (e.g. Keurig/Nespresso), Instant coffee, Coffee brewing machine (e.g. Mr. Coffee)",,"National chain (e.g. Starbucks, Dunkin), Specialty coffee shop, Local cafe",,Latte,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",,"Whole milk, Half and half","Granulated Sugar, Raw Sugar (Turbinado)",Sweet,Medium,Medium,Full caffeine,5,"It tastes good, I need the caffeine",,Yes,No
KMBKV8,1,At home,"Pour over, Cold brew",,,,Americano,,No - just black,,,,Fruity,Very strong,Light,Full caffeine,4,"It tastes good, I need the ritual",,Yes,Yes
aBrq6q,2,"At home, At a cafe","Pour over, Espresso",,,,Latte,,"Milk, dairy alternative, or coffee creamer",,"Almond milk, Skim milk, Half and half",,Sweet,Medium,Light,Full caffeine,7,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes
oAVLeP,2,At home,Coffee brewing machine (e.g. Mr. Coffee),,,,Regular drip coffee,,No - just black,,,,Full Bodied,Somewhat strong,Light,Full caffeine,5,,,,
YZzlPW,1,At home,Other,Aeropress,,,Latte,,"Milk, dairy alternative, or coffee creamer",,Whole milk,,Chocolatey,Somewhat strong,Medium,Full caffeine,5,"I need the ritual, It tastes good",,Yes,No
zKQ5jM,3,At home,"Pour over, Espresso",,,,Cortado,,"Milk, dairy alternative, or coffee creamer",,Whole milk,,Nutty,Somewhat strong,Dark,Full caffeine,7,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom, Other",It smells nice,Yes,No
XeBPJY,2,"At home, At the office",Coffee brewing machine (e.g. Mr. Coffee),,,,Iced coffee,,Sugar or sweetener,,,"Raw Sugar (Turbinado), Granulated Sugar",Chocolatey,Somewhat strong,Medium,Full caffeine,6,"It tastes good, I need the caffeine, I need the ritual",,Yes,No
kYRB61,2,"At home, At the office, At a cafe","Pour over, Espresso, French press",,,,Iced coffee,,"No - just black, Milk, dairy alternative, or coffee creamer",,"Whole milk, Half and half, Soy milk",,Caramalized,Somewhat strong,Medium,Full caffeine,6,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes
zKQ5y0,3,"At the office, At home, At a cafe","Pour over, Espresso, Bean-to-cup machine",,,,Espresso,,"Milk, dairy alternative, or coffee creamer, No - just black",,Skim milk,,Full Bodied,Somewhat strong,Dark,Full caffeine,7,It tastes good,,Yes,Yes
RzBy5d,4,"At home, At a cafe","Espresso, Coffee brewing machine (e.g. Mr. Coffee), Other",Aeropress,,,Pourover,,No - just black,,,,Caramalized,Medium,Medium,Half caff,3,"It tastes good, I need the caffeine, I need the ritual",,Yes,No
ZdRrNy,2,At home,"Espresso, Pour over",,,,Latte,,"No - just black, Milk, dairy alternative, or coffee creamer",,Whole milk,,Fruity,Somewhat strong,Light,Full caffeine,6,"It tastes good, I need the caffeine",,Yes,Yes
6dQE7B,2,"At home, On the go","Espresso, Cold brew, Pour over",,Specialty coffee shop,,Espresso,,No - just black,,,,Fruity,Medium,Medium,Full caffeine,4,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes
0EjRey,2,"On the go, At home",Pour over,,Specialty coffee shop,,Cappuccino,,"Milk, dairy alternative, or coffee creamer",,"Whole milk, Half and half",,Nutty,Medium,Medium,Full caffeine,5,"It tastes good, I need the caffeine, I need the ritual",,Yes,No
QABlDp,1,At home,Pour over,,,,Iced coffee,,"Milk, dairy alternative, or coffee creamer",,"Coffee creamer, Almond milk, Oat milk",,Chocolatey,Somewhat light,Light,Full caffeine,2,"I need the caffeine, It tastes good, I need the ritual",,Yes,No
24xGB9,2,At home,"Pod/capsule machine (e.g. Keurig/Nespresso), Espresso",,,,Espresso,,"Milk, dairy alternative, or coffee creamer",,"Half and half, Flavored coffee creamer",,Fruity,Medium,Light,Full caffeine,5,"I need the caffeine, It tastes good",,Yes,No
EPb7QX,2,"At home, At the office","Pour over, Espresso, Cold brew",,,,Regular drip coffee,,No - just black,,,,Fruity,Medium,Light,Full caffeine,8,"It tastes good, I need the ritual",,Yes,Yes
qbE1AY,2,At home,Pour over,,,,Pourover,,No - just black,,,,Juicy,Medium,Light,Full caffeine,3,"It tastes good, I need the ritual, I need the caffeine",,Yes,Yes
RzByD9,2,At home,Pour over,,,,Latte,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,Skim milk,Raw Sugar (Turbinado),Full Bodied,Medium,Medium,Full caffeine,3,"It tastes good, I need the caffeine",,Yes,Yes
42NVQY,2,At home,"Pour over, Espresso",,,,Latte,,"Milk, dairy alternative, or coffee creamer, No - just black",,Whole milk,,Fruity,Somewhat light,Light,Full caffeine,9,"It tastes good, It makes me go to the bathroom",,Yes,Yes
EPb7XX,1,At home,"Pour over, Other","Moka Pot, Aeropress",,,Cortado,,No - just black,,,,Full Bodied,Somewhat strong,Medium,Half caff,7,It tastes good,,Yes,Yes
Albe2z,3,At home,"Espresso, French press",,,,Americano,,No - just black,,,,Caramalized,Somewhat strong,Light,Full caffeine,8,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes
PABJ9V,3,At home,"Pour over, Other",Aeropress,,,Pourover,,No - just black,,,,Fruity,Somewhat strong,Light,Full caffeine,4,"It tastes good, I need the caffeine",,Yes,Yes
rlrM5R,More than 4,"On the go, At home, At a cafe","Pour over, Coffee brewing machine (e.g. Mr. Coffee)",,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)",,Regular drip coffee,,No - just black,,,,Fruity,Medium,Light,Full caffeine,7,"It tastes good, I need the ritual",,Yes,Yes
kYR8Pj,2,"At a cafe, At home, At the office","Pour over, Espresso, Other",Aeropress,,,Pourover,,No - just black,,,,Fruity,Somewhat strong,Nordic,Full caffeine,8,"It tastes good, I need the ritual",,Yes,Yes
J2kvqK,Less than 1,"At the office, At a cafe, At home",Other,I mix it with matcha,,,Other,Mixed with matcha,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,Whole milk,"Honey, Brown Sugar",Caramalized,Somewhat strong,Medium,Full caffeine,4,"It tastes good, I need the caffeine",,No,No
J2kv1K,3,"At home, At the office","Pour over, Other",Aeropress,,,Pourover,,No - just black,,,,Bright,Somewhat strong,Medium,Full caffeine,6,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",,Yes,Yes
PABJpB,1,At home,"Pour over, Cold brew, Other, French press","Immersion (e.g., Hario Switch)",,,Pourover,,"Milk, dairy alternative, or coffee creamer",,Whole milk,,Chocolatey,Medium,Medium,Full caffeine,6,It tastes good,,Yes,No
EPb7l4,3,"At the office, At home, At a cafe","French press, Espresso",,,,Latte,,"Milk, dairy alternative, or coffee creamer",,"Oat milk, Soy milk, Half and half",,Bold,Very strong,Medium,Half caff,8,"I need the ritual, It tastes good",,Yes,Yes
XeBP0j,1,"At home, On the go","Pour over, Espresso",,"National chain (e.g. Starbucks, Dunkin), Specialty coffee shop, Local cafe",,Latte,,"Milk, dairy alternative, or coffee creamer",,Whole milk,,Caramalized,Medium,Medium,Full caffeine,7,It tastes good,,Yes,Yes
vNx5Yv,2,At home,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)",,,,Pourover,,No - just black,,,,Bright,Medium,Medium,Full caffeine,4,"It tastes good, I need the ritual, I need the caffeine",,Yes,Yes
NAB1WB,2,"At home, At the office, At a cafe",Pour over,,,,Pourover,,No - just black,,,,Fruity,Medium,Light,Full caffeine,7,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes
42NV8k,2,"At home, At the office, At a cafe","Pour over, Espresso",,,,Cortado,,"Milk, dairy alternative, or coffee creamer, No - just black",,Whole milk,,Fruity,Medium,Light,Full caffeine,7,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes
VZ1OQg,2,At home,Espresso,,,,Iced coffee,,"Milk, dairy alternative, or coffee creamer, Flavor syrup",,Oat milk,,Bright,Medium,Light,Full caffeine,7,"It tastes good, I need the ritual, Other","Nostalgia, comfort",Yes,Yes
LdMLWj,4,At home,"Pour over, Cold brew",,,,Pourover,,"Milk, dairy alternative, or coffee creamer",,Half and half,,Bold,Very strong,Dark,Full caffeine,7,"It tastes good, I need the ritual",,Yes,No
LdMLKv,1,"At home, At the office",French press,,,,Regular drip coffee,,No - just black,,,,Bold,Very strong,Dark,Full caffeine,5,"It tastes good, I need the caffeine, It makes me go to the bathroom",,Yes,Yes
zKQ5Ya,2,At home,"Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso)",,,,Regular drip coffee,,"Milk, dairy alternative, or coffee creamer",,Oat milk,,Nutty,Somewhat strong,Medium,Full caffeine,4,It makes me go to the bathroom,,Yes,No
pLPpoJ,1,At home,"Espresso, Pour over",,,,Iced coffee,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,"Whole milk, Oat milk",Granulated Sugar,Chocolatey,Medium,Medium,Full caffeine,5,"It tastes good, I need the caffeine",,Yes,Yes
lNlkqv,2,At home,"Pour over, Espresso",,,,Pourover,,No - just black,,,,Bright,Medium,Light,Full caffeine,7,"It tastes good, Other",interesting to explore,Yes,Yes
GrBO2O,2,"At the office, At home, At a cafe","Pour over, Other",Aero press,,,Americano,,No - just black,,,,Nutty,Medium,Medium,Full caffeine,7,"It tastes good, I need the caffeine",,Yes,Yes
KMBK1A,Less than 1,At the office,,,,,Pourover,,"Milk, dairy alternative, or coffee creamer",,"Half and half, Flavored coffee creamer",,Bright,Somewhat light,Medium,Full caffeine,1,"I need the caffeine, I need the ritual",,No,No
dY2e9o,1,At home,Espresso,,,,Latte,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,"Whole milk, Oat milk","Granulated Sugar, Honey, Brown Sugar, Raw Sugar (Turbinado)",Chocolatey,Very strong,Dark,Full caffeine,7,"It tastes good, I need the ritual",I enjoy comparing,Yes,Yes
9dJjQp,4,"At home, On the go","Coffee extract (e.g. Cometeer), Other",Siphon,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin), Local cafe",,Pourover,,No - just black,,,,Bright,Somewhat strong,Light,Full caffeine,7,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes
QABl58,3,At home,Pour over,,,,Pourover,,No - just black,,,,Fruity,Medium,Light,Full caffeine,7,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes
BGbWk5,2,At home,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)",,,,Pourover,,No - just black,,,,Sweet,Very strong,Light,Full caffeine,6,"It tastes good, I need the ritual",,Yes,Yes
24xGPj,2,"At home, At the office",French press,,,,Cold brew,,"Milk, dairy alternative, or coffee creamer",,Oat milk,,Caramalized,Somewhat strong,Medium,Full caffeine,7,It tastes good,,Yes,Yes
0EjRdB,More than 4,"On the go, At home, At the office","French press, Espresso",,Local cafe,,Regular drip coffee,,"Sugar or sweetener, Milk, dairy alternative, or coffee creamer, No - just black",,"Whole milk, Half and half","Granulated Sugar, Artificial Sweeteners (e.g., Splenda)",Bold,Very strong,Dark,Full caffeine,4,"It tastes good, I need the caffeine",,Yes,Yes
RzByPd,2,At home,"Pour over, French press, Espresso",,,,Pourover,,No - just black,,,,Juicy,Somewhat light,Light,Full caffeine,7,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes
RzBq9P,2,At home,Pour over,,,,Pourover,,No - just black,,,,Nutty,Somewhat strong,Medium,Full caffeine,6,It tastes good,,Yes,Yes
PABJ65,2,"At the office, At home","Pour over, French press",,,,Pourover,,"Milk, dairy alternative, or coffee creamer",,Half and half,,Fruity,Very strong,Light,Full caffeine,4,"It tastes good, I need the caffeine",,Yes,No
oAVLRP,2,At home,Other,Aeropress,,,Other,Immersion brew,No - just black,,,,Bold,Somewhat strong,Medium,Full caffeine,6,"It tastes good, I need the ritual",,Yes,Yes
24xGPL,Less than 1,At home,Pour over,,,,Cappuccino,,No - just black,,,,Chocolatey,Somewhat strong,Light,Full caffeine,4,I need the caffeine,,Yes,No
rlr84L,1,"At home, At a cafe","Coffee brewing machine (e.g. Mr. Coffee), Pour over, French press, Espresso",,,,Latte,,No - just black,,,,Fruity,Medium,Medium,Full caffeine,8,"It tastes good, I need the ritual",,Yes,Yes
VZ1O0v,2,"At home, At the office, At a cafe","French press, Espresso",,,,Latte,,"Milk, dairy alternative, or coffee creamer, No - just black",,Whole milk,,Full Bodied,Somewhat strong,Dark,Full caffeine,6,"It tastes good, I need the ritual",,Yes,Yes
8dp4xO,2,At home,Pod/capsule machine (e.g. Keurig/Nespresso),,,,Latte,,"Milk, dairy alternative, or coffee creamer",,Coffee creamer,,Full Bodied,Somewhat strong,Dark,Full caffeine,5,"It tastes good, I need the caffeine",,Yes,Yes
bl4QWL,2,At home,"Pour over, Espresso",,,,Cortado,,No - just black,,,,Full Bodied,Very strong,Medium,Full caffeine,6,"It tastes good, I need the ritual, Other",the smellllllllllllll,Yes,Yes
qbE1a9,2,At home,"Pour over, French press, Instant coffee, Other",Aeropress,,,Latte,,"Milk, dairy alternative, or coffee creamer",,Whole milk,,Chocolatey,Very strong,Medium,Half caff,5,"It tastes good, I need the ritual, I need the caffeine",,Yes,Yes
VZ1O5J,3,"On the go, At home","Pour over, Coffee extract (e.g. Cometeer)",,Specialty coffee shop,,Espresso,,No - just black,,,,Fruity,Somewhat strong,Light,Full caffeine,8,"It tastes good, I need the caffeine",,Yes,Yes
rlrMPl,Less than 1,"At home, At a cafe","Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)",,,,Latte,,"Milk, dairy alternative, or coffee creamer, Flavor syrup",,Oat milk,,Sweet,Somewhat light,Blonde,Full caffeine,3,"It makes me go to the bathroom, I need the caffeine",,Yes,No
EPb7XN,2,At home,"Pour over, French press",,,,Latte,,"Milk, dairy alternative, or coffee creamer",,Oat milk,,Full Bodied,Medium,Medium,Full caffeine,5,It tastes good,,Yes,No
dY2e0o,1,At home,Other,Aeropress,,,Regular drip coffee,,No - just black,,,,Fruity,Somewhat strong,Light,Full caffeine,6,"It tastes good, I need the ritual",,Yes,Yes
lNlkyB,3,"At home, On the go, At a cafe, At the office","Pour over, French press, Instant coffee, Cold brew",,"Local cafe, National chain (e.g. Starbucks, Dunkin)",,Iced coffee,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,"Whole milk, Flavored coffee creamer, Coffee creamer","Granulated Sugar, Honey, Stevia",Chocolatey,Somewhat strong,Dark,Full caffeine,4,"It tastes good, I need the ritual",,Yes,Yes
BGbJo7,3,"At home, At the office, At a cafe","Pour over, Espresso",,,,Iced coffee,,"No - just black, Sugar or sweetener",,,Raw Sugar (Turbinado),Chocolatey,Medium,Medium,Full caffeine,7,"It tastes good, Other",it's meditative and a great hobby,Yes,Yes
xdN5ay,2,"At home, At a cafe, At the office, On the go","Pour over, French press, Espresso, Cold brew",,"Local cafe, Drive-thru, Specialty coffee shop, Other, National chain (e.g. Starbucks, Dunkin)",Trade,Latte,,"Flavor syrup, Sugar or sweetener, Milk, dairy alternative, or coffee creamer, No - just black, Other",Salt/Saline,"Oat milk, Soy milk","Granulated Sugar, Maple Syrup, Brown Sugar, Raw Sugar (Turbinado)",Bold,Somewhat strong,Medium,Full caffeine,7,"It tastes good, I need the caffeine, I need the ritual",,Yes,No
GrBAdp,Less than 1,At the office,,,,,Regular drip coffee,,No - just black,,,,Chocolatey,Somewhat strong,Dark,Full caffeine,1,It tastes good,,Yes,Yes
BGbWxQ,3,At home,Coffee brewing machine (e.g. Mr. Coffee),,,,Regular drip coffee,,Sugar or sweetener,,,Granulated Sugar,Full Bodied,Somewhat strong,Medium,Full caffeine,4,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes
MAdpzp,2,"At home, At a cafe, On the go, At the office","Espresso, Cold brew",,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)",,Cortado,,"Milk, dairy alternative, or coffee creamer",,Oat milk,,Nutty,Medium,Light,Full caffeine,7,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",,Yes,Yes
RzBy0J,2,"At the office, At home","Pour over, Cold brew",,,,Pourover,,"No - just black, Milk, dairy alternative, or coffee creamer",,Whole milk,,Fruity,Somewhat strong,Medium,Half caff,4,It tastes good,,Yes,Yes
PABJ1e,2,At home,"Pour over, Espresso",,,,Cortado,,"Sugar or sweetener, Milk, dairy alternative, or coffee creamer",,Half and half,Raw Sugar (Turbinado),Caramalized,Medium,Light,Full caffeine,3,"It tastes good, I need the caffeine",,Yes,Yes
XeBPWj,1,"At the office, At a cafe, At home","Pour over, French press, Other",Aeropress,,,Espresso,,No - just black,,,,Floral,Very strong,Light,Full caffeine,7,"It tastes good, I need the caffeine",,Yes,Yes
g5N6Gl,3,"At a cafe, At home, At the office","Espresso, Cold brew, Pour over",,,,Espresso,,No - just black,,,,Chocolatey,Very strong,Medium,Full caffeine,7,"It tastes good, Other",To explore flavors,Yes,Yes
jB9AZJ,1,"At home, On the go, At a cafe, At the office","Pod/capsule machine (e.g. Keurig/Nespresso), Espresso",,"Local cafe, National chain (e.g. Starbucks, Dunkin)",,Latte,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",,"Half and half, Whole milk, Coffee creamer",Granulated Sugar,Chocolatey,Medium,Medium,Full caffeine,2,"It tastes good, I need the caffeine, I need the ritual",,Yes,No
g5N6e4,3,"At the office, At home, At a cafe","Pour over, Other",Moka pot,,,Pourover,,No - just black,,,,Fruity,Somewhat strong,Light,Full caffeine,6,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes
0Ejq9Q,2,"At home, At a cafe","Pour over, Coffee brewing machine (e.g. Mr. Coffee)",,,,Pourover,,No - just black,,,,Fruity,Somewhat strong,Light,Decaf,10,"It tastes good, I need the ritual",,Yes,Yes
xdN8EG,2,"At home, At the office",Pod/capsule machine (e.g. Keurig/Nespresso),,,,Latte,,No - just black,,,,Caramalized,Medium,Medium,Full caffeine,2,It tastes good,,Yes,No
zKQ5Da,1,"At home, On the go, At a cafe","Pod/capsule machine (e.g. Keurig/Nespresso), Other",Aeropress,"National chain (e.g. Starbucks, Dunkin), Local cafe",,Latte,,"Milk, dairy alternative, or coffee creamer",,"Whole milk, Oat milk",,Bright,Medium,Medium,Full caffeine,4,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",,Yes,Yes
xdN5Xv,2,"At home, At a cafe","Pour over, Espresso",,,,Pourover,,No - just black,,,,Fruity,Somewhat strong,Light,Full caffeine,6,"It tastes good, I need the ritual",,Yes,Yes
24xGAj,2,"At home, At a cafe","Pour over, Other",clever,,,Pourover,,No - just black,,,,Fruity,Somewhat strong,Light,Full caffeine,8,"It tastes good, I need the ritual",,Yes,Yes
lNl8j5,2,"At a cafe, At home","Espresso, Other","Aeropress, Moka pot",,,Cappuccino,,No - just black,,,,Nutty,Somewhat strong,Medium,Full caffeine,7,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes
YZz7Nv,2,At home,Pour over,,,,Blended drink (e.g. Frappuccino),,"Milk, dairy alternative, or coffee creamer",,Whole milk,,Fruity,Somewhat strong,Light,Full caffeine,4,"I need the caffeine, It tastes good, It makes me go to the bathroom",,Yes,Yes
